Loading configuration : configs/config-2.4.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR_DT
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR-DT time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log: FT20-ClienteSR-DT time 684 node 0 GOT: ACK<41, 46, 640>
log:    FT20-Server time 684 node 1 GOT: DATA<49, 653, len: 1000>
log:    FT20-Server time 684 node 1 SENDING: ACK<41, 49, 653>
log:    FT20-Server time 688 node 1 GOT: DATA<42, 656, len: 1000>
log:    FT20-Server time 688 node 1 SENDING: ACK<42, 42, 656>
log: FT20-ClienteSR-DT time 692 node 0 GOT: ACK<41, 47, 648>
log:    FT20-Server time 692 node 1 GOT: DATA<50, 657, len: 1000>
log:    FT20-Server time 692 node 1 SENDING: ACK<42, 50, 657>
log: FT20-ClienteSR-DT time 696 node 0 GOT: ACK<41, 48, 649>
log:    FT20-Server time 696 node 1 GOT: DATA<43, 658, len: 1000>
log:    FT20-Server time 696 node 1 SENDING: ACK<50, 43, 658>
log: FT20-ClienteSR-DT time 700 node 0 GOT: ACK<41, -1, 652>
log:    FT20-Server time 700 node 1 GOT: DATA<44, 660, len: 1000>
log:    FT20-Server time 700 node 1 SENDING: ACK<50, -1, 660>
log: FT20-ClienteSR-DT time 704 node 0 GOT: ACK<41, 49, 653>
log:    FT20-Server time 704 node 1 GOT: DATA<51, 661, len: 1000>
log:    FT20-Server time 704 node 1 SENDING: ACK<51, 51, 661>
log: FT20-ClienteSR-DT time 708 node 0 GOT: ACK<42, 42, 656>
log: FT20-ClienteSR-DT time 708 node 0 SENDING: DATA<52, 708, len: 1000>
log: FT20-ClienteSR-DT time 712 node 0 GOT: ACK<42, 50, 657>
log: FT20-ClienteSR-DT time 714 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 714 node 0 SENDING: DATA<43, 714, len: 1000>
log: FT20-ClienteSR-DT time 716 node 0 GOT: ACK<50, 43, 658>
log: FT20-ClienteSR-DT time 716 node 0 SENDING: DATA<53, 716, len: 1000>
log: FT20-ClienteSR-DT time 717 node 0 SENDING: DATA<54, 717, len: 1000>
log: FT20-ClienteSR-DT time 718 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 718 node 0 SENDING: DATA<51, 718, len: 1000>
log: FT20-ClienteSR-DT time 719 node 0 SENDING: DATA<55, 719, len: 1000>
log: FT20-ClienteSR-DT time 720 node 0 GOT: ACK<50, -1, 660>
log: FT20-ClienteSR-DT time 720 node 0 SENDING: DATA<56, 720, len: 1000>
log: FT20-ClienteSR-DT time 721 node 0 SENDING: DATA<57, 721, len: 1000>
log: FT20-ClienteSR-DT time 722 node 0 SENDING: DATA<58, 722, len: 1000>
log: FT20-ClienteSR-DT time 723 node 0 SENDING: DATA<59, 723, len: 1000>
log: FT20-ClienteSR-DT time 724 node 0 GOT: ACK<51, 51, 661>
log: FT20-ClienteSR-DT time 724 node 0 SENDING: DATA<60, 724, len: 1000>
log: FT20-ClienteSR-DT time 725 node 0 SENDING: DATA<61, 725, len: 1000>
log:    FT20-Server time 732 node 1 GOT: DATA<52, 708, len: 1000>
log:    FT20-Server time 732 node 1 SENDING: ACK<52, 52, 708>
log:    FT20-Server time 738 node 1 GOT: DATA<43, 714, len: 1000>
log:    FT20-Server time 738 node 1 SENDING: ACK<52, -1, 714>
log:    FT20-Server time 742 node 1 GOT: DATA<54, 717, len: 1000>
log:    FT20-Server time 742 node 1 SENDING: ACK<52, 54, 717>
log:    FT20-Server time 746 node 1 GOT: DATA<51, 718, len: 1000>
log:    FT20-Server time 746 node 1 SENDING: ACK<52, -1, 718>
log:    FT20-Server time 750 node 1 GOT: DATA<55, 719, len: 1000>
log:    FT20-Server time 750 node 1 SENDING: ACK<52, 55, 719>
log: FT20-ClienteSR-DT time 752 node 0 GOT: ACK<52, 52, 708>
